# Time-averaged data for fix hot1
# TimeStep f_Hot
880000 -476.68
881000 -477.706
882000 -477.285
883000 -477.791
884000 -477.911
885000 -479.43
886000 -480.122
887000 -479.9
888000 -480.126
889000 -481.976
890000 -482.302
891000 -482.913
892000 -483.492
893000 -482.828
894000 -482.942
895000 -483.871
896000 -484.137
897000 -484.976
898000 -485.236
899000 -485.396
900000 -486.652
901000 -487.728
902000 -487.603
903000 -487.009
904000 -487.295
905000 -488.954
906000 -489.919
907000 -491.792
908000 -492.323
909000 -492.893
910000 -494.368
911000 -494.983
912000 -495.716
913000 -496.633
914000 -498.241
915000 -498.553
916000 -498.756
917000 -499.448
918000 -500.357
919000 -500.345
920000 -501.142
921000 -503.058
922000 -503.826
923000 -503.352
924000 -505.241
925000 -506.42
926000 -507.323
927000 -506.731
928000 -507.344
929000 -508.577
930000 -507.807
931000 -506.927
932000 -506.809
933000 -509.1
934000 -508.996
935000 -510.403
936000 -511.979
937000 -512.457
938000 -513.157
939000 -513.296
940000 -514.399
941000 -515.369
942000 -516.919
943000 -517.408
944000 -517.17
945000 -517.608
946000 -518.638
947000 -518.505
948000 -520.356
949000 -519.669
950000 -520.833
951000 -521.656
952000 -521.295
953000 -522.572
954000 -522.995
955000 -524.796
956000 -524.818
957000 -524.184
958000 -524.514
959000 -526.443
960000 -526.817
961000 -526.996
962000 -528.02
963000 -527.234
964000 -528.847
965000 -529.078
966000 -530.504
967000 -530.786
968000 -532.519
969000 -532.705
970000 -532.765
971000 -532.195
972000 -533.85
973000 -535.089
974000 -535.678
975000 -537.416
976000 -537.936
977000 -537.785
978000 -537.219
979000 -538.77
980000 -539.26
981000 -540.285
982000 -540.371
983000 -540.067
984000 -541.009
985000 -541.886
986000 -542.816
987000 -541.83
988000 -541.868
989000 -541.933
990000 -542.67
991000 -543.3
992000 -543.589
993000 -545.294
994000 -545.869
995000 -545.757
996000 -546.435
997000 -547.139
998000 -546.348
999000 -547.9
1000000 -550.147
1001000 -550.455
1002000 -551.008
1003000 -550.822
1004000 -552.419
1005000 -553.442
1006000 -553.371
1007000 -554.3
1008000 -555.263
1009000 -556.04
1010000 -556.982
1011000 -559.103
1012000 -559.489
1013000 -560.772
1014000 -561.568
1015000 -562.2
1016000 -562.134
1017000 -561.987
1018000 -563.08
1019000 -563.225
1020000 -563.802
1021000 -564.281
1022000 -564.518
1023000 -565.599
1024000 -566.658
1025000 -566.012
1026000 -565.863
1027000 -567.669
1028000 -568.258
1029000 -567.509
1030000 -568.438
1031000 -569.732
1032000 -568.775
1033000 -569.888
1034000 -570.971
1035000 -571.131
1036000 -571.694
1037000 -571.714
1038000 -571.6
1039000 -573.355
1040000 -573.669
1041000 -575.544
1042000 -576.448
1043000 -576.596
1044000 -575.695
1045000 -576.678
1046000 -577.39
1047000 -578.854
1048000 -578.86
1049000 -579.421
1050000 -579.479
1051000 -580.325
1052000 -580.21
1053000 -581.557
1054000 -582.163
1055000 -581.916
1056000 -582.563
1057000 -582.8
1058000 -583.812
1059000 -585.859
1060000 -585.841
1061000 -585.142
1062000 -586.326
1063000 -586.696
1064000 -586.513
1065000 -588.1
1066000 -587.905
1067000 -588.881
1068000 -589.377
1069000 -590.193
1070000 -591.271
1071000 -592.955
1072000 -594.392
1073000 -593.884
1074000 -594.737
1075000 -594.491
1076000 -595.623
1077000 -596.935
1078000 -596.622
1079000 -597.589
1080000 -599.649
1081000 -600.383
1082000 -601.176
1083000 -601.115
1084000 -602.428
1085000 -602.956
1086000 -604.045
1087000 -605.909
1088000 -605.839
1089000 -605.624
1090000 -605.879
1091000 -608.439
1092000 -608.242
1093000 -610.075
1094000 -610.794
1095000 -612.121
1096000 -611.529
1097000 -612.454
1098000 -612.62
1099000 -611.878
1100000 -611.807
1101000 -612.531
1102000 -614.215
1103000 -616.084
1104000 -615.124
1105000 -614.187
1106000 -614.58
1107000 -616.361
1108000 -616.773
1109000 -617.238
1110000 -617.296
1111000 -617.174
1112000 -618.32
1113000 -618.573
1114000 -619.462
1115000 -620.201
1116000 -620.919
1117000 -622.55
1118000 -622.617
1119000 -621.996
1120000 -623.054
1121000 -623.885
1122000 -623.724
1123000 -624.869
1124000 -625.269
1125000 -625.797
1126000 -625.274
1127000 -626.33
1128000 -627.49
1129000 -626.949
1130000 -628.245
1131000 -628.542
1132000 -629.114
1133000 -628.672
1134000 -629.744
1135000 -630.245
1136000 -631.363
1137000 -632.492
1138000 -633.435
1139000 -634.715
1140000 -636.597
1141000 -637.271
1142000 -638.392
1143000 -638.019
1144000 -639.832
1145000 -641.934
1146000 -641.506
1147000 -640.281
1148000 -641.389
1149000 -641.218
1150000 -641.577
1151000 -642.853
1152000 -642.514
1153000 -642.85
1154000 -645.183
1155000 -646.122
1156000 -645.564
1157000 -647.281
1158000 -648.104
1159000 -647.953
1160000 -648.602
1161000 -649.549
1162000 -651.783
1163000 -653.605
1164000 -653.882
1165000 -654.451
1166000 -656.328
1167000 -656.835
1168000 -656.889
1169000 -657.913
1170000 -659.392
1171000 -659.713
1172000 -661.329
1173000 -661.353
1174000 -662.728
1175000 -663.218
1176000 -663.686
1177000 -665.595
1178000 -665.048
1179000 -665.408
1180000 -665.594
1181000 -664.994
1182000 -666.087
1183000 -666.739
1184000 -667.672
1185000 -668.137
1186000 -668.674
1187000 -667.589
1188000 -668.559
1189000 -669.072
1190000 -670.318
1191000 -670.928
1192000 -670.345
1193000 -669.76
1194000 -669.232
1195000 -670.124
1196000 -669.621
1197000 -669.935
1198000 -669.152
1199000 -668.671
1200000 -668.709
1201000 -668.02
1202000 -669.327
1203000 -671.125
1204000 -671.481
1205000 -671.787
1206000 -671.514
1207000 -672.634
1208000 -672.007
1209000 -673.597
1210000 -673.156
1211000 -674.38
1212000 -674.078
1213000 -673.389
1214000 -673.698
1215000 -674.244
1216000 -675.164
1217000 -676.334
1218000 -676.758
1219000 -677.057
1220000 -677.338
1221000 -677.334
1222000 -676.81
1223000 -677.386
1224000 -679.023
1225000 -680.015
1226000 -679.511
1227000 -680.246
1228000 -680.557
1229000 -681.727
1230000 -680.748
1231000 -682.415
1232000 -681.974
