# Time-averaged data for fix hot1
# TimeStep f_Hot
1363000 -791.963
1364000 -793.164
1365000 -795.072
1366000 -794.354
1367000 -793.29
1368000 -793.158
1369000 -793.383
1370000 -792.505
1371000 -793.9
1372000 -795.122
1373000 -794.357
1374000 -794.268
1375000 -797.164
1376000 -797.443
1377000 -798.125
1378000 -797.748
1379000 -796.179
1380000 -799.377
1381000 -798.275
1382000 -798.924
1383000 -801.374
1384000 -802.838
1385000 -802.845
1386000 -801.755
1387000 -804.112
1388000 -804.256
1389000 -806.452
1390000 -807.716
1391000 -806.48
1392000 -808.575
1393000 -810.514
1394000 -811.255
1395000 -812.415
1396000 -812.691
1397000 -813.312
1398000 -815.489
1399000 -814.95
1400000 -816.644
1401000 -815.35
1402000 -814.552
1403000 -814.941
1404000 -816.328
1405000 -817.611
1406000 -818.805
1407000 -818.928
1408000 -818.261
1409000 -819.376
1410000 -818.148
1411000 -818.518
1412000 -820.876
1413000 -822.296
1414000 -821.486
1415000 -820.91
1416000 -821.561
1417000 -823.729
1418000 -824.358
1419000 -824.604
1420000 -823.819
1421000 -823.212
1422000 -824.852
1423000 -826.362
1424000 -824.475
1425000 -824.396
1426000 -825.207
1427000 -827.452
1428000 -827.764
1429000 -828.03
1430000 -826.52
1431000 -828.187
1432000 -829.129
1433000 -831.275
1434000 -831.941
1435000 -834.005
1436000 -833.33
1437000 -832.363
1438000 -830.972
1439000 -833.365
1440000 -833.984
1441000 -834.345
1442000 -833.921
1443000 -834.106
1444000 -835.275
1445000 -836.09
1446000 -840.223
1447000 -839.436
1448000 -839.975
1449000 -841.096
1450000 -843.269
1451000 -843.488
1452000 -845.536
1453000 -848.283
1454000 -849.669
1455000 -848.515
1456000 -847.206
1457000 -847.3
1458000 -845.179
1459000 -845.269
1460000 -846.972
1461000 -847.271
1462000 -847.479
1463000 -848.377
1464000 -849.679
1465000 -848.348
1466000 -848.769
1467000 -849.491
1468000 -849.008
1469000 -849.825
1470000 -849.154
1471000 -851.486
1472000 -852.25
1473000 -852.028
1474000 -854.667
1475000 -856.395
1476000 -855.435
1477000 -857.964
1478000 -857.88
1479000 -860.36
1480000 -861.293
1481000 -857.57
1482000 -858.491
1483000 -859.11
1484000 -858.183
1485000 -859.941
1486000 -860.807
1487000 -860.311
1488000 -860.091
1489000 -861.275
1490000 -863.009
1491000 -865.192
1492000 -866.447
1493000 -866.787
1494000 -867.878
1495000 -868.911
1496000 -870.468
1497000 -870.232
1498000 -870.373
1499000 -870.992
1500000 -870.058
1501000 -872.337
1502000 -872.999
1503000 -871.039
1504000 -872.314
1505000 -873.257
1506000 -873.554
1507000 -875.051
1508000 -875.603
1509000 -874.572
1510000 -875.456
1511000 -879.101
1512000 -877.729
1513000 -877.446
1514000 -876.845
1515000 -877.627
1516000 -879.115
1517000 -880.494
1518000 -879.088
1519000 -879.859
1520000 -880.04
1521000 -882.557
1522000 -883.134
1523000 -884.351
1524000 -886.743
1525000 -884.02
1526000 -884.991
1527000 -887.5
1528000 -886.308
1529000 -887.888
1530000 -886.891
1531000 -887.443
1532000 -889.366
1533000 -888.857
1534000 -889.604
1535000 -893.776
1536000 -894.591
1537000 -892.636
1538000 -892.722
1539000 -894.535
1540000 -893.604
1541000 -894.169
1542000 -894.91
1543000 -894.367
1544000 -895.463
1545000 -897.023
1546000 -896.176
1547000 -896.148
1548000 -896.342
1549000 -896.708
1550000 -897.088
1551000 -895.788
1552000 -899.067
1553000 -899.191
1554000 -902.134
1555000 -902.43
1556000 -901.092
1557000 -904.192
1558000 -903.088
1559000 -903.751
1560000 -906.539
1561000 -906.301
1562000 -906.987
1563000 -909.42
1564000 -910.199
1565000 -909.647
1566000 -911.292
1567000 -910.949
1568000 -910.229
1569000 -912.874
1570000 -915.01
1571000 -917.09
1572000 -917.442
1573000 -917.236
1574000 -919.042
1575000 -920.735
1576000 -920.385
1577000 -921.621
1578000 -920.981
1579000 -922.173
1580000 -920.943
1581000 -921.238
1582000 -921.501
1583000 -923.483
1584000 -925.934
1585000 -925.11
1586000 -925.753
1587000 -926.004
1588000 -925.446
1589000 -924.872
1590000 -924.366
1591000 -926.206
1592000 -926.963
1593000 -928.286
1594000 -928.883
1595000 -929.185
1596000 -930.148
1597000 -931.55
1598000 -933.555
1599000 -931.822
1600000 -932.034
1601000 -934.137
1602000 -934.908
1603000 -937.091
1604000 -938.116
1605000 -938.316
1606000 -941.284
1607000 -941.806
1608000 -943.064
1609000 -944.876
1610000 -944.421
1611000 -944.144
1612000 -943.419
1613000 -944.984
1614000 -947.539
1615000 -947.429
1616000 -946.892
1617000 -950.203
1618000 -948.806
1619000 -948.686
1620000 -949.793
1621000 -947.201
1622000 -948.227
1623000 -949.334
1624000 -950.583
1625000 -951.718
1626000 -951.579
1627000 -951.46
1628000 -952.256
1629000 -953.243
1630000 -956.555
1631000 -958.798
1632000 -957.845
1633000 -959.028
1634000 -959.74
1635000 -961.465
